area,rooms,bathroom,price,link,latitude,longitude
90,2,2,589000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-carvoeira-bairros-florianopolis-com-garagem-90m2-venda-RS589000-id-2427784582/,-27.6061391,-48.5308103
112,3,4,500000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-112m2-venda-RS500000-id-2514508422/,-27.5988684,-48.5490165
108,3,2,917831,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itaguacu-bairros-florianopolis-com-garagem-108m2-venda-RS917831-id-2427747614/,-27.616243,-48.5908065
97,3,2,1590000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-internacional-bairros-florianopolis-com-garagem-97m2-venda-RS1590000-id-2571619216/,-27.4469076,-48.4947533
100,3,2,750000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-100m2-venda-RS750000-id-2564162577/,-27.5918114,-48.5784626
70,2,2,530000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-canasvieiras-bairros-florianopolis-com-garagem-70m2-venda-RS530000-id-2573073276/,-27.4298188,-48.4549445
105,3,2,785000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-105m2-venda-RS785000-id-2557074348/,-27.5934482,-48.5500531
75,2,2,585000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-com-garagem-75m2-venda-RS585000-id-2554105508/,-27.5905791,-48.5789839
86,2,3,699000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-com-garagem-86m2-venda-RS699000-id-2572136563/,-27.5846338,-48.5781062
92,3,1,1319000,https://www.vivareal.com.br/imoveis-lancamento/residencial-back-green-towers-92m-2569358347/,-27.5816286,-48.5251039
83,3,2,530000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-83m2-venda-RS530000-id-2570359620/,-27.5972317,-48.5806653
76,2,2,810000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-com-garagem-76m2-venda-RS810000-id-2569653027/,-27.5872261,-48.5795567
74,3,2,430000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-74m2-venda-RS430000-id-2571469077/,-27.6062839,-48.5776532
102,2,3,895000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-102m2-venda-RS895000-id-2565478131/,-27.4401285,-48.4836884
