area,rooms,bathroom,price,link,latitude,longitude
70,2,2,540000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-70m2-venda-RS540000-id-2571570317/,-27.5918069,-48.6143218
90,3,2,750000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nossa-senhora-do-rosario-bairros-sao-jose-com-garagem-90m2-venda-RS750000-id-2493738573/,-27.5770851,-48.6164783
80,2,2,599000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-80m2-venda-RS599000-id-2526544910/,-27.5956923,-48.6082818
90,2,2,425000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-90m2-venda-RS425000-id-2526009385/,-27.5956923,-48.6082818
101,3,1,560000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-101m2-venda-RS560000-id-2427784874/,-27.5767119,-48.6075932
93,3,2,650000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-93m2-venda-RS650000-id-2473438873/,-27.5746585,-48.6009831
73,2,2,350000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-rocado-bairros-sao-jose-com-garagem-73m2-venda-RS350000-id-2552949021/,-27.5937497,-48.6199692
76,2,2,190000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-real-parque-bairros-sao-jose-com-garagem-76m2-venda-RS190000-id-2427720437/,-27.5662476,-48.6403727
88,3,2,575000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-88m2-venda-RS575000-id-2427691323/,-27.578185,-48.6064635
113,3,3,879000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-praia-comprida-bairros-sao-jose-com-garagem-113m2-venda-RS879000-id-2501974001/,-27.6038963,-48.6290207
77,3,2,395000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-77m2-venda-RS395000-id-2572248550/,-27.5974669,-48.6129105
111,3,3,829000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nossa-senhora-do-rosario-bairros-sao-jose-com-garagem-111m2-venda-RS829000-id-2573689031/,-27.5770851,-48.6164783
114,3,3,649000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-114m2-venda-RS649000-id-2571910280/,-27.5956624,-48.6095535
81,3,2,410000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-81m2-venda-RS410000-id-2540544076/,-27.578185,-48.6064635
82,2,2,620000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-82m2-venda-RS620000-id-2564359787/,-27.5945326,-48.6088259
74,2,2,450000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-74m2-venda-RS450000-id-2573333190/,-27.5790787,-48.6135025
89,3,2,550000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-89m2-venda-RS550000-id-2569067875/,-27.5924171,-48.6084364
76,2,2,486000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-76m2-venda-RS486000-id-2571616548/,-27.6008766,-48.6163479
91,3,2,395000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-91m2-venda-RS395000-id-2569956327/,-27.5956624,-48.6095535
71,2,2,450000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-71m2-venda-RS450000-id-2565777657/,-27.5830941,-48.6101049
74,2,2,518700,https://www.vivareal.com.br/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-74m2-venda-RS518700-id-2557229726/,-27.6008766,-48.6163479
70,2,2,388000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-bairros-sao-jose-com-garagem-70m2-venda-RS388000-id-2524189712/,-27.5715068,-48.61571
70,2,2,450000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-70m2-venda-RS450000-id-2557895847/,-27.5929735,-48.6064206
104,3,2,730000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-104m2-venda-RS730000-id-2557238038/,-27.5767119,-48.6075932
80,3,2,375000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-cidade-de-florianopolis-bairros-sao-jose-com-garagem-80m2-venda-RS375000-id-2572438702/,-27.5732388,-48.6264024
75,2,2,340000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-75m2-venda-RS340000-id-2514259777/,-27.5653856,-48.6151777
88,3,1,498000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-88m2-venda-RS498000-id-2571569698/,-27.5946778,-48.6062522
79,2,2,530000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-79m2-venda-RS530000-id-2562872180/,-27.5956624,-48.6095535
100,2,1,240000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-100m2-venda-RS240000-id-2571225207/,-27.6009674,-48.6150216
72,2,2,420000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-72m2-venda-RS420000-id-2563092653/,-27.5828923,-48.6036843
82,2,2,530000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-82m2-venda-RS530000-id-2554258430/,-27.5972231,-48.611352
105,3,2,530000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-105m2-venda-RS530000-id-2563283991/,-27.5986237,-48.6145342
93,3,2,583000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-93m2-venda-RS583000-id-2552282088/,-27.5781817,-48.6036797
84,3,2,400000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-84m2-venda-RS400000-id-2563373484/,-27.5997402,-48.6138374
92,3,2,679000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-92m2-venda-RS679000-id-2570361624/,-27.578185,-48.6064635
