area,rooms,bathroom,price,link,latitude,longitude
83,2,2,750000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-83m2-venda-RS750000-id-2567514294/,-27.4341444,-48.3934617
81,1,2,652207,https://www.vivareal.com.br/imoveis-lancamento/residencial-amalfi-2567563319/,-27.5891552,-48.5418747
83,2,2,555000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-83m2-venda-RS555000-id-2550554065/,-27.4222713,-48.4022178
100,3,3,950000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-100m2-venda-RS950000-id-2539575253/,-27.5842274,-48.5466395
70,2,2,650000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-70m2-venda-RS650000-id-2489978282/,-27.5773831,-48.5127892
90,3,2,980000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-90m2-venda-RS980000-id-2559172578/,-27.4388938,-48.4821589
72,2,2,628536,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-72m2-venda-RS628536-id-2543717112/,-27.5903218,-48.5218346
76,2,2,880000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-rio-tavares-bairros-florianopolis-com-garagem-76m2-venda-RS880000-id-2562445360/,-27.6544777,-48.474256
75,2,2,599000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-atlantico-bairros-florianopolis-com-garagem-75m2-venda-RS599000-id-2572024608/,-27.581962,-48.5903926
109,3,4,1332000,https://www.vivareal.com.br/imoveis-lancamento/residencial-lago-di-garda-109m-2567568678/,-27.5875374,-48.5393833
70,2,2,930000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-70m2-venda-RS930000-id-2541559483/,-27.5908102,-48.5523605
72,2,2,420000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-72m2-venda-RS420000-id-2571353526/,-27.4284475,-48.4061403
110,3,3,1230000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-110m2-venda-RS1230000-id-2554489990/,-27.5851247,-48.5793944
77,2,1,520000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-77m2-venda-RS520000-id-2570812880/,-27.59695445,-48.545272301474
120,3,4,1850000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-internacional-bairros-florianopolis-com-garagem-120m2-venda-RS1850000-id-2541993377/,-27.4488287,-48.5075892
88,2,3,740000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-88m2-venda-RS740000-id-2427775519/,-27.4440981,-48.5018904
106,3,2,690000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-106m2-venda-RS690000-id-2571767314/,-27.4233013,-48.4059404
95,3,2,750000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-95m2-venda-RS750000-id-2572144594/,-27.4233013,-48.4059404
96,3,2,910000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-monte-verde-bairros-florianopolis-com-garagem-96m2-venda-RS910000-id-2570138420/,-27.5595039,-48.4961059
98,3,2,890000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-98m2-venda-RS890000-id-2562758765/,-27.5972029,-48.5494815
88,3,2,850000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-abraao-bairros-florianopolis-com-garagem-88m2-venda-RS850000-id-2572693691/,-27.6063282,-48.5935237
88,3,2,846000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-abraao-bairros-florianopolis-com-garagem-88m2-venda-RS846000-id-2568826439/,-27.6071356,-48.5940354
70,2,2,600000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-70m2-venda-RS600000-id-2555962548/,-27.5767218,-48.5065654
97,3,2,701079,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-97m2-venda-RS701079-id-2567536456/,-27.434476,-48.409466
94,3,2,1075000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-acores-bairros-florianopolis-com-garagem-94m2-venda-RS1075000-id-2566985662/,-27.7831494,-48.5251522
73,3,1,287000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-73m2-venda-RS287000-id-2567384410/,-27.6020856,-48.5834284
99,3,3,754900,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-99m2-venda-RS754900-id-2564483091/,-27.6004739,-48.6028762
86,3,2,719310,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-86m2-venda-RS719310-id-2567520380/,-27.434476,-48.409466
112,2,1,1012736,https://www.vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-com-garagem-112m2-venda-RS1012736-id-2544020975/,-27.5907313,-48.57797
104,3,3,714000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-104m2-venda-RS714000-id-2562081079/,-27.4406569,-48.417504
98,3,2,475000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-98m2-venda-RS475000-id-2499902389/,-27.5963777,-48.544915
92,3,3,410000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-92m2-venda-RS410000-id-2544330944/,-27.5907313,-48.57797
77,2,2,1010497,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-77m2-venda-RS1010497-id-2551648312/,-27.4415104,-48.3836852
82,2,2,789000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pantanal-bairros-florianopolis-com-garagem-82m2-venda-RS789000-id-2551955890/,-27.6004276,-48.516608
83,3,2,1450000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-83m2-venda-RS1450000-id-2572443740/,-27.5900406,-48.5459908
114,2,3,1770000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-sao-jorge-bairros-florianopolis-com-garagem-114m2-venda-RS1770000-id-2537378267/,-27.589723,-48.4997545
78,1,1,629000,https://www.vivareal.com.br/imovel/apartamento-1-quartos-canto-bairros-florianopolis-com-garagem-78m2-venda-RS629000-id-2569144334/,-27.584808,-48.5807017
78,2,1,225000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-78m2-venda-RS225000-id-2563197631/,-27.4373938,-48.3987098
91,2,3,620000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-91m2-venda-RS620000-id-2572136701/,-27.4219368,-48.4268141
109,2,3,1333281,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-109m2-venda-RS1333281-id-2545668883/,-27.4402665,-48.5027484
91,3,2,430000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-abraao-bairros-florianopolis-com-garagem-91m2-venda-RS430000-id-2562420162/,-27.6072068,-48.5900976
93,3,2,385000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saco-dos-limoes-bairros-florianopolis-com-garagem-93m2-venda-RS385000-id-2569673002/,-27.6132723,-48.5263716
102,3,4,1210000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-102m2-venda-RS1210000-id-2544984799/,-27.4350547,-48.5073769861319
112,3,2,745000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-112m2-venda-RS745000-id-2568134543/,-27.4265307,-48.4236749
101,3,2,1550000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-corrego-grande-bairros-florianopolis-com-garagem-101m2-venda-RS1550000-id-2554230411/,-27.603255,-48.5011645
75,2,2,636000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-com-garagem-75m2-venda-RS636000-id-2570212622/,-27.5907313,-48.57797
114,3,1,1464503,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-114m2-venda-RS1464503-id-2543890281/,-27.4350547,-48.5073769861319
99,3,1,480000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-99m2-venda-RS480000-id-71478380/,-27.4363229,-48.3932246
91,2,1,365000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-91m2-venda-RS365000-id-2568715709/,-27.4395598,-48.4110718
75,3,1,670000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-com-garagem-75m2-venda-RS670000-id-2571690027/,-27.5767218,-48.5065654
104,2,2,1465441,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-104m2-venda-RS1465441-id-2566117363/,-27.4448217,-48.4869378
88,3,2,530000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-88m2-venda-RS530000-id-2546650115/,-27.5893834,-48.5224004
74,2,2,550000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-74m2-venda-RS550000-id-2556670028/,-27.4259986,-48.4038679
110,3,3,1090000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-110m2-venda-RS1090000-id-2545774931/,-27.6112016,-48.5808439
95,2,2,1382400,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-95m2-venda-RS1382400-id-2558366222/,-27.5908102,-48.5523605
82,2,1,650000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-82m2-venda-RS650000-id-2556152564/,-27.5815804,-48.5044255
104,3,1,1049177,https://www.vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-104m2-venda-RS1049177-id-2571769490/,-27.5907313,-48.57797
80,2,2,490000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-80m2-venda-RS490000-id-2541880833/,-27.4399071,-48.401143
80,3,2,754321,https://www.vivareal.com.br/imovel/apartamento-3-quartos-canasvieiras-bairros-florianopolis-com-garagem-80m2-venda-RS754321-id-2545758895/,-27.4295668,-48.4602439
115,4,3,800000,https://www.vivareal.com.br/imovel/apartamento-4-quartos-corrego-grande-bairros-florianopolis-com-garagem-115m2-venda-RS800000-id-2563720614/,-27.6007352,-48.4994204
79,1,2,779900,https://www.vivareal.com.br/imovel/apartamento-1-quartos-itacorubi-bairros-florianopolis-com-garagem-79m2-venda-RS779900-id-2571208797/,-27.5815804,-48.5044255
110,3,2,1500000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-beira-mar-bairros-florianopolis-com-garagem-110m2-venda-RS1500000-id-2538607411/,-27.5875072,-48.5567276
75,2,1,890000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-75m2-venda-RS890000-id-2560162449/,-27.6759558,-48.4865151
79,2,2,680000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-da-conceicao-bairros-florianopolis-com-garagem-79m2-venda-RS680000-id-2572316514/,-27.6029786,-48.4677418
79,3,2,720680,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-79m2-venda-RS720680-id-2567534401/,-27.434476,-48.409466
116,2,2,630000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-116m2-venda-RS630000-id-2572135617/,-27.5942678,-48.5203124
96,3,2,723450,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-96m2-venda-RS723450-id-2544018020/,-27.4399071,-48.401143
110,3,3,1010000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-110m2-venda-RS1010000-id-2566264886/,-27.601033,-48.5460451
97,2,3,1007000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-97m2-venda-RS1007000-id-2556782557/,-27.4259676,-48.4043919
74,2,2,1450000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-74m2-venda-RS1450000-id-2569093909/,-27.4421619,-48.5012704
77,2,2,770000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-77m2-venda-RS770000-id-2573064964/,-27.6759558,-48.4865151
89,3,2,695000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-89m2-venda-RS695000-id-2556645173/,-27.5796818,-48.5261161
89,3,2,890000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-89m2-venda-RS890000-id-2570635768/,-27.5936593,-48.5237787
71,2,3,482000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-71m2-venda-RS482000-id-2568948618/,-27.4406569,-48.417504
111,3,4,1190000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-111m2-venda-RS1190000-id-2556834738/,-27.6126837,-48.5833449
97,3,2,708931,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-97m2-venda-RS708931-id-2567535525/,-27.434476,-48.409466
97,3,4,745000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-97m2-venda-RS745000-id-2568566841/,-27.5927043,-48.5888707
75,3,1,420000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-75m2-venda-RS420000-id-2546894833/,-27.6112016,-48.5808439
76,2,3,866000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-76m2-venda-RS866000-id-2550742774/,-27.576749,-48.5146718
105,3,4,1000000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-105m2-venda-RS1000000-id-2551976265/,-27.6060868,-48.5804042
114,2,3,1770000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-114m2-venda-RS1770000-id-2529963415/,-27.589723,-48.4997545
71,2,3,1308270,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-71m2-venda-RS1308270-id-2545670484/,-27.4402665,-48.5027484
90,2,2,490000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-90m2-venda-RS490000-id-2567007477/,-27.5988684,-48.5490165
73,2,2,827000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-joao-paulo-bairros-florianopolis-com-garagem-73m2-venda-RS827000-id-2565462931/,-27.5601512,-48.511257
82,2,1,445000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-canasvieiras-bairros-florianopolis-com-garagem-82m2-venda-RS445000-id-2569933596/,-27.4287388,-48.4574474
85,3,2,850000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-85m2-venda-RS850000-id-2564272287/,-27.5907204,-48.5615655
